System ID,,"4483C1713"
Method name only,,"Tension_Flat_SLOW_DATA_NEW"
Test type,,"Tension"
Sample file name,,"A05D0R"
Last test date,,"Wednesday, April 5, 2023"
Last test time,,"5:59:16 PM"
Course,,"ae461"
Lab Section Number,,"5"
Group,,"D"
Material,,"cf"
Composite Orientation Angle (degrees),,"0"
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width,(mm),"23.29"
Thickness,(mm),"2.43"
Specimen Gage Length,(mm),"101.09"
Extensometer Gage Length,(mm),"25.40"
Final Width (mm),,"0.00"
Final Thickness (mm),,"0.00"
Fracture Type and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"42.84"

Time,Displacement,Force,Tensile strain (Strain 1)
"73.50","4.90","21.31","-0.01841"
"74.00","4.93","21.47","-0.01836"
"74.50","4.97","21.63","-0.01832"
"75.00","5.00","21.79","-0.01828"
"75.50","5.03","21.94","-0.01823"
"76.00","5.07","22.06","-0.01821"
"76.50","5.10","22.17","-0.01817"
"77.00","5.13","22.29","-0.01813"
"77.50","5.17","22.40","-0.01810"
"78.00","5.20","22.52","-0.01806"
"78.50","5.23","22.65","-0.01803"
"79.00","5.27","22.79","-0.01801"
"79.50","5.30","22.93","-0.01797"
"80.00","5.33","23.08","-0.01791"
"80.50","5.37","23.24","-0.01789"
"81.00","5.40","23.39","-0.01784"
"81.50","5.43","23.55","-0.01780"
"82.00","5.47","23.71","-0.01777"
"82.50","5.50","23.87","-0.01773"
"83.00","5.53","24.04","-0.01768"
"83.50","5.57","24.20","-0.01764"
"84.00","5.60","24.36","-0.01759"
"84.50","5.63","24.53","-0.01756"
"85.00","5.67","24.69","-0.01752"
"85.50","5.70","24.86","-0.01750"
"86.00","5.73","25.02","-0.01745"
"86.50","5.77","25.19","-0.01739"
"87.00","5.80","25.35","-0.01736"
"87.50","5.83","25.52","-0.01732"
"88.00","5.87","25.69","-0.01728"
"88.50","5.90","25.85","-0.01724"
"89.00","5.93","26.02","-0.01719"
"89.50","5.97","26.19","-0.01715"
"90.00","6.00","26.35","-0.01711"
"90.50","6.03","26.52","-0.01706"
"91.00","6.07","26.69","-0.01703"
"91.50","6.10","26.86","-0.01698"
"92.00","6.13","26.98","-0.01695"
"92.50","6.17","27.17","-0.01690"
"93.00","6.20","27.34","-0.01686"
"93.50","6.23","27.51","-0.01683"
"94.00","6.27","27.67","-0.01679"
"94.50","6.30","27.84","-0.01675"
"95.00","6.33","28.01","-0.01671"
"95.50","6.37","28.18","-0.01667"
"96.00","6.40","28.35","-0.01662"
"96.50","6.43","28.52","-0.01659"
"97.00","6.47","28.69","-0.01654"
"97.50","6.50","28.86","-0.01650"
"98.00","6.53","29.03","-0.01646"
"98.50","6.57","29.20","-0.01642"
"99.00","6.60","29.37","-0.01639"
"99.50","6.63","29.54","-0.01634"
"100.00","6.67","29.71","-0.01629"
"100.50","6.70","29.88","-0.01626"
"101.00","6.73","30.05","-0.01621"
"101.50","6.77","30.23","-0.01617"
"102.00","6.80","30.39","-0.01613"
"102.50","6.83","30.57","-0.01608"
"103.00","6.87","30.74","-0.01605"
"103.50","6.90","30.91","-0.01600"
"104.00","6.93","31.08","-0.01597"
"104.50","6.97","31.25","-0.01592"
"105.00","7.00","31.42","-0.01588"
"105.50","7.03","31.59","-0.01585"
"106.00","7.07","31.74","-0.01583"
"106.50","7.10","31.92","-0.01578"
"107.00","7.13","32.09","-0.01574"
"107.50","7.17","32.26","-0.01571"
"108.00","7.20","32.43","-0.01567"
"108.50","7.23","32.60","-0.01562"
"109.00","7.27","32.78","-0.01557"
"109.50","7.30","32.94","-0.01554"
"110.00","7.33","33.12","-0.01551"
"110.50","7.37","33.29","-0.01546"
"111.00","7.40","33.46","-0.01542"
"111.50","7.43","33.63","-0.01538"
"112.00","7.47","33.81","-0.01534"
"112.50","7.50","33.98","-0.01528"
"113.00","7.53","34.15","-0.01525"
"113.50","7.57","34.33","-0.01520"
"114.00","7.60","34.50","-0.01516"
"114.50","7.63","34.67","-0.01512"
"115.00","7.67","34.85","-0.01508"
"115.50","7.70","35.02","-0.01504"
"116.00","7.73","35.19","-0.01499"
"116.50","7.77","35.36","-0.01495"
"117.00","7.80","35.53","-0.01492"
"117.50","7.83","35.70","-0.01487"
"118.00","7.87","35.88","-0.01483"
"118.50","7.90","36.05","-0.01478"
"119.00","7.93","36.22","-0.01475"
"119.50","7.97","36.39","-0.01470"
"120.00","8.00","36.56","-0.01466"
"120.50","8.03","36.73","-0.01460"
"121.00","8.07","36.90","-0.01457"
"121.50","8.10","37.07","-0.01453"
"122.00","8.13","37.24","-0.01449"
"122.50","8.17","37.41","-0.01445"
"123.00","8.20","37.59","-0.01441"
"123.50","8.23","37.75","-0.01437"
"124.00","8.27","37.92","-0.01431"
"124.50","8.30","38.09","-0.01429"
"125.00","8.33","38.26","-0.01424"
"125.50","8.37","38.43","-0.01419"
"126.00","8.40","38.59","-0.01416"
"126.50","8.43","38.75","-0.01412"
"127.00","8.47","38.92","-0.01407"
"127.50","8.50","39.08","-0.01404"
"128.00","8.53","39.24","-0.01401"
"128.50","8.57","39.39","-0.01397"
"129.00","8.60","39.55","-0.01393"
"129.50","8.63","39.70","-0.01389"
"130.00","8.67","39.85","-0.01385"
"130.50","8.70","40.00","-0.01381"
"131.00","8.73","40.15","-0.01377"
"131.50","8.77","40.29","-0.01373"
"132.00","8.80","40.43","-0.01371"
"132.50","8.83","40.58","-0.01369"
"133.00","8.87","40.65","-0.01356"
"133.50","8.90","40.66","-0.01379"
"134.00","8.93","40.84","-0.01376"
"134.50","8.97","40.98","-0.01372"
"135.00","9.00","41.07","-0.01368"
"135.50","9.03","41.21","-0.01366"
"136.00","9.07","41.32","-0.01363"
"136.50","9.10","41.43","-0.01360"
"137.00","9.13","41.55","-0.01357"
"137.50","9.17","41.66","-0.01355"
"138.00","9.20","41.77","-0.01351"
"138.50","9.23","41.87","-0.01348"
"139.00","9.27","41.98","-0.01345"
"139.50","9.30","42.08","-0.01342"
"140.00","9.33","42.18","-0.01340"
"140.50","9.37","42.27","-0.01336"
"141.00","9.40","42.37","-0.01334"
"141.50","9.43","42.46","-0.01331"
"142.00","9.47","42.55","-0.01329"
"142.50","9.50","42.64","-0.01325"
"143.00","9.53","42.73","-0.01322"
"143.50","9.57","42.76","-0.01321"
"144.00","9.60","42.78","-0.01319"
"144.50","9.63","42.84","-0.01317"
"145.00","9.67","42.80","-0.01318"
"145.50","9.70","42.71","-0.01319"
"146.00","9.73","42.61","-0.01322"
"146.50","9.77","42.56","-0.01324"
"147.00","9.80","-0.03914","-0.04330"
"147.50","9.83","-0.03496","-0.04329"
"148.00","9.87","-0.03248","-0.04327"
"148.50","9.90","-0.02920","-0.04326"
"149.00","9.93","-0.02792","-0.04325"
"149.50","9.97","-0.02606","-0.04326"
"150.00","10.00","-0.02368","-0.04326"
"150.50","10.03","-0.02251","-0.04324"
"151.00","10.07","-0.02075","-0.04323"
"151.50","10.10","-0.02023","-0.04320"
"152.00","10.13","-0.01931","-0.04321"
"152.50","10.17","-0.01736","-0.04322"
"153.00","10.20","-0.01787","-0.04322"
"153.50","10.23","-0.01782","-0.04321"
"154.00","10.27","-0.01614","-0.04321"
"154.50","10.30","-0.01580","-0.04322"
"155.00","10.33","-0.01589","-0.04321"
"155.50","10.37","-0.01499","-0.04322"
"156.00","10.40","-0.01463","-0.04321"
"156.50","10.43","-0.01489","-0.04321"
"157.00","10.47","-0.01441","-0.04320"
"157.50","10.50","-0.01327","-0.04322"
"158.00","10.53","-0.01396","-0.04321"
"158.50","10.57","-0.01311","-0.04322"
"158.96","10.60","-0.01293","-0.04322"

